Transcription,Spelling,Word,BiphonProb,Frequency,is_capital,count,repeated
F.AO.L.S,false,false,0.003511696,21.14,TRUE,0,
T.R.UW,true,true,0.008308016,253.35,TRUE,0,
AH,a,a,0,20415.27,TRUE,1,
T.R.IH.P.AH.L.EY,Aaa,aaa,0.011557253,0.49,FALSE,1,
AA.R.D.V.AA.R.K,aardvark,aardvark,0.001239491,0.41,TRUE,1,
EH.R.AH.N,Aaron,aaron,0.006507148,14.65,FALSE,1,
AE.B,Ab,ab,0.000970319,1.47,FALSE,1,
AH.B.AE.K,aback,aback,0.002458986,0.29,TRUE,1,
AE.B.AH.K.AH.S,abacus,abacus,0.006582479,0.24,TRUE,1,
AE.B.AH.L.OW.N.IY,abalone,abalone,0.002270573,0.51,TRUE,1,
AH.B.AE.N.D.AH.N,abandon,abandon,0.016051438,8.1,TRUE,1,
AH.B.AE.N.D.AH.N.D,abandoned,abandoned,0.015602385,13.29,TRUE,1,
AH.B.AE.N.D.AH.N.IH.NG,abandoning,abandoning,0.018703996,1.69,TRUE,1,
AH.B.AE.N.D.AH.N.M.AH.N.T,abandonment,abandonment,0.033249305,0.96,TRUE,1,
AH.B.AE.N.D.AH.N.Z,abandons,abandons,0.015560055,0.27,TRUE,1,
AH.B.EY.T,abate,abate,0.001776752,0.1,TRUE,1,
AH.B.EY.T.IH.D,abated,abated,0.003470516,0.08,TRUE,1,
AH.B.EY.T.M.AH.N.T,abatement,abatement,0.01721566,0.06,TRUE,1,
AH.B.EY.T.S,abates,abates,0.003003459,0.04,TRUE,1,
AH.B.EY.T.IH.NG,abating,abating,0.012400845,0.02,TRUE,1,
AE.B.AH,Abba,abba,0.000756508,0.18,FALSE,1,
AH.B.AA.S,Abbas,abbas,0.001162641,0.1,FALSE,1,
AE.B.EY,Abbe,abbe,0.000530094,0.04,FALSE,1,
AE.B.IY,Abbey,abbey,0.000577141,3.18,FALSE,1,
AE.B.AH.T,Abbot,abbot,0.001573131,0.84,FALSE,1,
AE.B.AH.T,Abbott,abbott,0.001573131,7.86,FALSE,1,
AH.B.R.IY.V.IY.EY.T,abbreviate,abbreviate,0.00457805,0.02,TRUE,1,
AH.B.R.IY.V.IY.EY.T.AH.D,abbreviated,abbreviated,0.007990087,0.31,TRUE,1,
AH.B.R.IY.V.IY.EY.SH.AH.N,abbreviation,abbreviation,0.026384697,0.24,TRUE,1,
AH.B.R.IY.V.IY.EY.SH.AH.N.Z,abbreviations,abbreviations,0.026930401,0.2,TRUE,1,
AE.B.IY,Abby,abby,0.000577141,12.49,FALSE,1,
AE.B.D.AH.K.EY.T,abdicate,abdicate,0.004025586,0.18,TRUE,1,
AE.B.D.AH.K.EY.T.AH.D,abdicated,abdicated,0.008168903,0.14,TRUE,1,
AE.B.D.AH.K.EY.T.S,abdicates,abdicates,0.004984244,0.02,TRUE,1,
AE.B.D.IH.K.EY.T.IH.NG,Abdicating,abdicating,0.010809776,0.06,FALSE,1,
AE.B.D.IH.K.EY.SH.AH.N,abdication,abdication,0.020847053,0.12,TRUE,1,
AE.B.D.AH.M.AH.N,abdomen,abdomen,0.015894929,3.35,TRUE,1,
AE.B.D.AA.M.AH.N.AH.L,abdominal,abdominal,0.017369847,3.41,TRUE,1,
AE.B.D.AH.K.T,abduct,abduct,0.005300505,0.71,TRUE,1,
AE.B.D.AH.K.T.IH.D,abducted,abducted,0.008131411,5,TRUE,1,
AE.B.D.AH.K.T.IY,abductee,abductee,0.006503577,0.39,TRUE,1,
AE.B.D.AH.K.T.IY.Z,abductees,abductees,0.006717945,0.35,TRUE,1,
AE.B.D.AH.K.T.IH.NG,abducting,abducting,0.012969545,0.31,TRUE,1,
AE.B.D.AH.K.SH.AH.N,abduction,abduction,0.021106173,3.63,TRUE,1,
AE.B.D.AH.K.SH.AH.N.Z,abductions,abductions,0.021088669,0.82,TRUE,1,
AE.B.D.AH.K.T.ER,abductor,abductor,0.006041644,0.35,TRUE,1,
AE.B.D.AH.K.T.ER.Z,abductors,abductors,0.007029645,0.22,TRUE,1,
AE.B.D.AH.K.T.S,abducts,abducts,0.006400828,0.16,TRUE,1,
AH.B.EH.D,abed,abed,0.001385875,0.2,TRUE,1,
EY.B.AH.L,Abel,abel,0.002175883,1.33,FALSE,1,
AH.B.IY.L,abele,abele,0.00136138,0.02,TRUE,1,
AE.B.EH.N.D,Abend,abend,0.004688512,0.18,FALSE,1,
AE.B.ER.D.IY.N,Aberdeen,aberdeen,0.001967086,0.33,FALSE,1,
AE.B.ER.N.EH.TH.IY,Abernethy,abernethy,0.000477306,0.02,FALSE,1,
AE.B.EH.R.AH.N.T,aberrant,aberrant,0.015425138,0.29,TRUE,1,
AE.B.ER.EY.SH.AH.N,aberration,aberration,0.014311564,0.55,TRUE,1,
AE.B.ER.EY.SH.AH.N.Z,aberrations,aberrations,0.014068734,0.16,TRUE,1,
AH.B.EH.T,abet,abet,0.001384794,0.1,TRUE,1,
AH.B.EH.T.IH.D,abetted,abetted,0.003235341,0.16,TRUE,1,
AH.B.EH.T.IH.NG,abetting,abetting,0.012165671,0.51,TRUE,1,
AH.B.EY.AH.N.S,abeyance,abeyance,0.012185885,0.04,TRUE,1,
AE.B.HH.AO.R,abhor,abhor,0.002759682,0.24,TRUE,1,
AH.B.HH.AO.R.D,abhorred,abhorred,0.003492201,0.14,TRUE,1,
AE.B.HH.AO.R.AH.N.T,abhorrent,abhorrent,0.018009974,0.18,TRUE,1,
AH.B.HH.AO.R.Z,abhors,abhors,0.002600833,0.08,TRUE,1,
AH.B.AY.D,abide,abide,0.001443075,2.71,TRUE,1,
AH.B.AY.D.IH.D,abided,abided,0.00263187,0.06,TRUE,1,
AH.B.AY.D.Z,abides,abides,0.002412332,0.08,TRUE,1,
AH.B.AY.D.IH.NG,abiding,abiding,0.0115622,0.49,TRUE,1,
AE.B.AH.G.EY.L,Abigail,abigail,0.000963709,3.02,FALSE,1,
AE.B.IH.L.IY.N,Abilene,abilene,0.00277743,1.33,FALSE,1,
AH.B.IH.L.AH.T.IY.Z,abilities,abilities,0.007350253,6.12,TRUE,1,
AH.B.IH.L.AH.T.IY,ability,ability,0.007241269,19.22,TRUE,1,
AE.B.JH.EH.K.T,abject,abject,0.004367337,0.39,TRUE,1,
AH.B.L.EY.Z,ablaze,ablaze,0.001089363,0.41,TRUE,1,
EY.B.AH.L,able,able,0.002175883,159.9,TRUE,1,
EY.B.AH.L.ER,abler,abler,0.002021865,0.02,TRUE,1,
EY.B.AH.L.S.T,ablest,ablest,0.005561389,0.04,TRUE,1,
AH.B.L.UW.M,abloom,abloom,0.000860977,0.06,TRUE,1,
EY.B.L.IY,ably,ably,0.003226343,0.18,TRUE,1,
AE.B.N.ER,Abner,abner,0.00170513,3.37,FALSE,1,
AE.B.N.AO.R.M.AH.L,abnormal,abnormal,0.010868803,2.9,TRUE,1,
AE.B.N.AO.R.M.AE.L.AH.T.IY.Z,abnormalities,abnormalities,0.005993801,0.49,TRUE,1,
AE.B.N.AO.R.M.AE.L.AH.T.IY,abnormality,abnormality,0.006593047,0.51,TRUE,1,
AE.B.N.AO.R.M.AH.L.IY,abnormally,abnormally,0.01370101,0.39,TRUE,1,
AA.B.OW,abo,abo,0.000432573,0.12,TRUE,1,
AH.B.AO.R.D,aboard,aboard,0.002743954,26.63,TRUE,1,
AH.B.OW.D,abode,abode,0.000812725,0.65,TRUE,1,
AH.B.AA.L.IH.SH,abolish,abolish,0.002781312,0.47,TRUE,1,
AH.B.AA.L.IH.SH.T,abolished,abolished,0.002369325,0.39,TRUE,1,
AH.B.AA.L.IH.SH.IH.Z,abolishes,abolishes,0.002996322,0.02,TRUE,1,
AH.B.AA.L.IH.SH.IH.NG,abolishing,abolishing,0.008577916,0.04,TRUE,1,
AE.B.AH.L.IH.SH.AH.N,abolition,abolition,0.020899428,0.2,TRUE,1,
AE.B.AH.L.IH.SH.AH.N.IH.Z.AH.M,abolitionism,abolitionism,0.013838561,0.02,TRUE,1,
AE.B.AH.L.IH.SH.AH.N.AH.S.T,abolitionist,abolitionist,0.018473484,0.22,TRUE,1,
AE.B.AH.L.IH.SH.AH.N.AH.S,abolitionists,abolitionists,0.019390529,0.25,TRUE,1,
AH.B.AA.M.AH.N.AH.B.AH.L,abominable,abominable,0.020673388,0.63,TRUE,1,
AH.B.AA.M.AH.N.EY.SH.AH.N,abomination,abomination,0.032474814,1.14,TRUE,1,
AE.B.ER.IH.JH.AH.N.AH.L,aboriginal,aboriginal,0.016536549,0.18,TRUE,1,
AE.B.ER.IH.JH.AH.N.IY,aborigine,aborigine,0.011007966,0.08,TRUE,1,
AE.B.ER.IH.JH.AH.N.IY.Z,aborigines,aborigines,0.010225414,0.18,TRUE,1,
AH.B.AO.R.T,Abort,abort,0.003042954,4.61,FALSE,1,
AH.B.AO.R.T.IH.D,aborted,aborted,0.004833853,0.63,TRUE,1,
AH.B.AO.R.T.IH.NG,aborting,aborting,0.009182574,0.25,TRUE,1,
AH.B.AO.R.SH.AH.N,abortion,abortion,0.015092852,7.24,TRUE,1,
AH.B.AO.R.SH.AH.N.IH.S.T,abortionist,abortionist,0.01126277,0.08,TRUE,1,
AH.B.AO.R.SH.AH.N.IH.S,abortionists,abortionists,0.011928336,0.02,TRUE,1,
AH.B.AO.R.SH.AH.N.Z,abortions,abortions,0.01473841,0.69,TRUE,1,
AH.B.AO.R.T.IH.V,abortive,abortive,0.004734316,0.02,TRUE,1,
AH.B.AO.R.T.S,aborts,aborts,0.004512374,0.02,TRUE,1,
AH.B.AW.N.D,abound,abound,0.004146451,0.35,TRUE,1,
AH.B.AW.N.D.IH.D,abounded,abounded,0.004255316,0.06,TRUE,1,
AH.B.AW.N.D.IH.NG,abounding,abounding,0.008604037,0.08,TRUE,1,
AH.B.AW.N.D.Z,abounds,abounds,0.004039141,0.2,TRUE,1,
AH.B.AW.T,about,about,0.001139644,3631.49,TRUE,1,
AH.B.AH.V,above,above,0.001472932,48.88,TRUE,1,
AH.B.AH.V.B.AO.R.D,aboveboard,aboveboard,0.002125135,0.27,TRUE,1,
AE.B.R.AH.K.AH.D.AE.B.R.AH,Abracadabra,abracadabra,0.004037338,1.04,FALSE,1,
EY.B.R.AH.HH.AE.M,Abraham,abraham,0.002544686,5.18,FALSE,1,
AH.B.R.EY.ZH.AH.N,abrasion,abrasion,0.012876764,0.35,TRUE,1,
AH.B.R.EY.ZH.AH.N.Z,abrasions,abrasions,0.012838906,1.1,TRUE,1,
AH.B.R.EY.S.IH.V,abrasive,abrasive,0.002096342,0.45,TRUE,1,
AH.B.R.EY.S.IH.V.Z,abrasives,abrasives,0.002193999,0.08,TRUE,1,
AH.B.R.AE.K.S.AH.Z,Abraxas,abraxas,0.003173332,0.57,FALSE,1,
AH.B.R.EH.S.T,abreast,abreast,0.006298549,0.51,TRUE,1,
AH.B.R.IH.JH,abridge,abridge,0.002204574,0.02,TRUE,1,
AH.B.R.IH.JH.D,abridged,abridged,0.001985869,0.18,TRUE,1,
AH.B.R.IH.JH.M.AH.N.T,abridgement,abridgement,0.022677945,0.02,TRUE,1,
AH.B.R.IH.JH.IH.NG,abridging,abridging,0.00680896,0.04,TRUE,1,
AH.B.R.AO.D,abroad,abroad,0.000941266,4.9,TRUE,1,
AE.B.R.AH.G.EY.T,abrogate,abrogate,0.003871197,0.02,TRUE,1,
AE.B.R.AH.G.EY.T.IH.D,abrogated,abrogated,0.006314765,0.04,TRUE,1,
AE.B.R.AH.G.EY.T.IH.NG,abrogating,abrogating,0.011243537,0.02,TRUE,1,
AH.B.R.AH.P.T,abrupt,abrupt,0.004689245,1.14,TRUE,1,
AH.B.R.AH.P.T.L.IY,abruptly,abruptly,0.006431118,0.88,TRUE,1,
AH.B.R.AH.P.T.N.AH.S,abruptness,abruptness,0.005633304,0.08,TRUE,1,
AE.B.Z,abs,abs,0.000688165,1.06,TRUE,1,
AE.B.S.K.AE.M,Abscam,abscam,0.001671855,0.06,FALSE,1,
