Word,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,PLD20,Phonographic_N,Sem_N_D,NMorph,,TrigramF_Avg_C_Log,STRING,N2_F,N3_F,N2_F_log10,N3_F_log10,BigramF_Avg_C_Log_SCOPE,TrigramF_Avg_C_Log_SCOPE,
a,6.017525817,NaN,1.45,1,3,NaN,1,,NaN,a,NA,NA,#VALUE!,#VALUE!,NaN,NaN,
aah,3.429590802,-0.167491087,1.85,3,0,0.20819828,0,,NaN,aah,0.68,0,-0.167491087,#NUM!,NaN,NaN,
aardvark,1.342422681,2.321660557,NaN,NaN,NaN,NaN,NaN,,1.017867719,aardvark,209.73,10.42,2.321660557,1.017867719,NaN,NaN,
aaron,NaN,2.778332169,1.85,1.6,0,NaN,1,,0.931966115,aaron,600.25,8.55,2.778332169,0.931966115,NaN,NaN,
abacus,1.113943352,2.21473791,2.9,2.9,0,0.29751965,1,,0.749736316,abacus,163.96,5.62,2.21473791,0.749736316,2.217378648,0.820857989,
abandon,2.617000341,2.644162759,2.9,2.45,0,0.58989388,1,,1.382737266,abandon,440.72,24.14,2.644162759,1.382737266,2.645147063,1.400365273,
abandoned,2.831869774,2.864760195,3.55,2.6,0,0.66408765,2,,2.101918834,abandoned,732.42,126.45,2.864760195,2.101918834,2.865352749,2.10533984,
abbott,NaN,2.098124338,0,0,0,NaN,1,,0.330413773,abbott,125.35,2.14,2.098124338,0.330413773,NaN,NaN,
abdomen,2.235528447,2.531376718,3,3,0,0.56019384,1,,1.601734148,abdomen,339.92,39.97,2.531376718,1.601734148,2.53265248,1.612465964,
abducted,2.408239965,3.134161164,0,0,0,0.5652259,3,,2.386445456,abducted,1361.95,243.47,3.134161164,2.386445456,3.134479924,2.388225573,l
abilities,2.495544338,2.946054143,2.95,2.75,0,0.6355828,3,,2.272352241,abilities,883.19,187.22,2.946054143,2.272352241,2.946545599,2.274665769,
ability,2.991669007,2.870643813,2.3,2.3,1,0.66938442,2,,2.307517431,ability,742.41,203.01,2.870643813,2.307517431,2.871228399,2.309651456,
able,3.911477217,2.727996458,1.5,1.55,0,0.68483597,1,,2.50552982,able,534.56,320.28,2.727996458,2.50552982,2.728808133,2.506883691,
aboard,3.133219457,2.315508531,2.3,1.6,0,0.61244363,1,,1.829625353,aboard,206.78,67.55,2.315508531,1.829625353,2.317603742,1.836007459,
abominable,1.51851394,2.483059262,3.45,4,0,0.32467911,2,,2.219374925,abominable,304.13,165.72,2.483059262,2.219374925,2.484484909,2.221987702,
abort,2.372912003,3.232787802,1.95,1.9,0,0.39153627,1,,2.967903503,abort,1709.18,928.76,3.232787802,2.967903503,3.233041823,2.968370858,
abortion,2.568201724,2.937051251,2.55,2.55,0,0.58093733,2,,2.636136708,abortion,865.07,432.65,2.937051251,2.636136708,2.937552995,2.637139351,
about,5.267657397,3.415645983,1.85,1.95,0,0.69840604,1,,3.384840669,about,2604.03,2425.72,3.415645983,3.384840669,3.415812729,3.385019669,
above,3.396896449,3.218677271,1.95,1.95,0,0.68176788,1,,3.026741578,above,1654.54,1063.51,3.218677271,3.026741578,3.218939678,3.027149746,
abracadabra,1.73239376,1.590284404,5.95,6.9,0,0.19651075,1,,-0.008773924,abracadabra,38.93,0.98,1.590284404,-0.008773924,1.60129931,0.29666519,
abraham,NaN,1.941461739,3.8,4.95,0,NaN,1,,-0.096910013,abraham,87.39,0.8,1.941461739,-0.096910013,NaN,NaN,
abroad,2.399673721,2.437623743,2.55,1.95,0,0.63686067,1,,1.76514679,abroad,273.92,58.23,2.437623743,1.76514679,2.439206335,1.772541733,
absence,2.509202522,2.748738302,2.65,2.65,0,0.65132207,2,,2.3586961,absence,560.71,228.4,2.748738302,2.3586961,2.749512156,2.360593414,
absent,2.120573931,2.8068106,1.95,2.7,0,0.60760909,2,,2.373849508,absent,640.93,236.51,2.8068106,2.373849508,2.807487673,2.3756819,
absolute,2.761927838,2.388811413,2.9,3.6,0,0.62305033,1,,1.7846886,absolute,244.8,60.91,2.388811413,1.7846886,2.390581879,1.791760804,
absolutely,3.761175813,2.588249291,3.85,4.7,0,0.59150481,2,,2.221492482,absolutely,387.48,166.53,2.588249291,2.221492482,2.589368665,2.224092588,
abstain,1.431363764,2.855167701,2.75,2.6,0,0.3607693,1,,2.513803369,abstain,716.42,326.44,2.855167701,2.513803369,2.85577348,2.515131732,
